Precon,ID,atan.XY,degree.XY
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c3a2,n/a,n/a
f2,b2c5a1,-1.33,-75.97
f2,b2c5a1,-1.25,-71.56
f2,b2c5a1,-1.25,-71.56
f2,b2c5a1,-1.11,-63.46
f2,b2c5a1,-1.11,-63.43
f2,b2c5a1,-1.11,-63.43
f2,b2c5a1,-1.01,-57.99
f2,b2c5a1,-0.98,-56.31
f2,b2c5a1,-0.98,-56.31
f2,b2c5a1,-0.79,-45.04
f2,b2c5a1,-0.79,-45.01
f2,b2c5a1,-0.79,-45.00
f2,b2c5a1,-0.79,-45.00
f2,b2c5a1,-0.79,-45.00
f2,b2c5a1,-0.79,-44.99
f2,b2c5a1,-0.64,-36.87
f2,b2c5a1,-0.61,-35.22
f2,b2c5a1,-0.59,-33.69
f2,b2c5a1,-0.46,-26.59
f2,b2c5a1,-0.46,-26.57
f2,b2c5a1,-0.32,-18.44
f2,b2c5a1,-0.10,-5.72
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.00,0.00
f2,b2c5a1,0.46,26.56
f2,b2c5a1,0.59,33.72
f2,b2c5a1,0.78,44.95
f2,b2c5a1,0.79,44.99
f2,b2c5a1,0.79,45.00
f2,b2c5a1,0.79,45.01
f2,b2c5a1,0.79,45.03
f2,b2c5a1,0.98,56.31
f2,b2c5a1,1.11,63.43
f2,b2c5a1,1.11,63.43
f2,b2c5a1,1.11,63.43
f2,b2c5a1,1.11,63.44
f2,b2c5a1,1.11,63.44
f2,b2c5a1,1.25,71.56
f2,b2c5a1,1.25,71.56
f2,b2c5a1,1.37,78.69
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
f2,b2c5a1,n/a,n/a
